"family","n_samp_obs","Limu_MA","CCA_MA","Coral_MA","FC_LimuVCoral","FC_LimuVCCA","FC_CoralVCCA","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","f_stat","sum_of_sq","p_val","adj_p_val","sample_type_DA"
"MBAE14_fa",39,0.000175757575757576,0.000198148148148148,0.000278095238095238,-0.661992165444776,-0.17299260846856,0.488999556976216,0.00170266229881418,0.829381536587601,0.00175249629245183,0.858494731130311,4.98339936376487e-05,0.99987767757719,0.216449489829435,6.54532378013691e-05,0.805791227248747,0.818872253665123,"NA"
"MBMPE27_fa",6,5.45454545454545e-05,0,9.52380952380952e-06,2.51784830486262,Inf,Inf,0.000733996259142645,0.698689148566481,0.00300459986942254,0.012770067580385,0.0022706036102799,0.0797010506549112,4.33799417008898,0.000126866068379091,0.0158999625076105,0.0363261917144679,"Limu"
"MD2904-B13_fa",13,0,0.000122222222222222,2.28571428571429e-05,-Inf,-Inf,-2.41878963413995,-0.00232540323354502,0.352162763209535,-0.00408919880736053,0.0877689810509513,-0.00176379557381552,0.630632450072534,2.41856598876971,0.000241423290324748,0.0948166037933023,0.169586268498878,"NA"
"Methylophagaceae",13,0.000509090909090909,0.000125925925925926,2.47619047619048e-05,4.36172910294534,2.01534796433344,-2.3463811386119,-0.00272284145866782,0.641086217698257,0.00448339477432732,0.398143953912035,0.00720623623299514,0.0996416557496573,2.1643973397275,0.000701583917171581,0.120759163069604,0.20321300021928,"NA"
"Nitrosococcaceae",71,0.000933333333333333,0.0035962962962963,0.00625333333333333,-2.74416109557041,-1.94604756191928,0.798113533651134,0.0124542425064375,0.442409475517172,-0.0222671170933318,0.139186176069628,-0.0347213595997693,0.010370194518676,4.43485860159366,0.0163055951565201,0.0145567621924089,0.0335019600457647,"Coral"
"Alcanivoracaceae1",3,0,0,6.0952380952381e-05,-Inf,0,Inf,0.00218359381957471,0.126204980414854,-2.49968834211936e-19,1,-0.00218359381957471,0.204578012311729,2.38087387580283,0.000104077488138024,0.0982709445677688,0.174765941191543,"NA"
"Endozoicomonadaceae",50,0.000524242424242424,0.00202407407407407,0.04152,-6.30742852519225,-1.94895607523016,4.35847244996208,0.0927734495894284,0.00185672690433525,-0.0197342213495861,0.787458483069633,-0.112507670939015,0.000936128989933893,9.19042591694911,0.224728902459839,0.000233371448014416,0.000849363525912931,"Coral"
"Nitrincolaceae",40,0.000442424242424242,0.000314814814814815,0.000131428571428571,1.75115150040952,0.490927005547331,-1.26022449486219,-0.0028804277316037,0.605746845217984,0.00959859740162595,0.0171465907132307,0.0124790251332296,0.00141074451827927,6.80159411325646,0.00218637112036484,0.00177469002803907,0.00514331461829843,"Limu"
"Oceanospirillales_unclassified",9,0,7.59259259259259e-05,0.000131428571428571,-Inf,-Inf,0.791614436657431,0.000414697989278106,0.97712611436035,-0.00313491007101727,0.366886027228367,-0.00354960806029538,0.281736283677924,1.30926632781096,0.000190343847198897,0.275110771073922,0.377673997132182,"NA"
"Oleiphilaceae",8,0.000296969696969697,0,3.80952380952381e-05,2.96263314753552,Inf,Inf,0.00104351304136523,0.856593153379038,0.0086676955767972,0.000608090463591893,0.00762418253543197,0.00303905854237474,8.27038684459219,0.0011358370637918,0.000504312627702033,0.00169883824367274,"Limu"
"Pseudohongiellaceae",38,0.000872727272727273,0.000107407407407407,0.000247619047619048,1.81740858672153,3.02243738911976,1.20502880239823,0.0032807004102491,0.613759600819381,0.0154686325159012,0.000527311495844507,0.0121879321056521,0.00810215479416798,7.96963325123222,0.00341344300282375,0.0006506533197983,0.00214373146417756,"Limu"
"Saccharospirillaceae",2,3.33333333333333e-05,0,0.000678095238095238,-4.34645041402143,Inf,Inf,0.00441920704313085,0.491282353745933,0.00123106540461755,0.958040399170806,-0.0031881416385133,0.75323258570395,0.679796075899957,0.000361653723033836,0.50930281796863,0.569327792943504,"NA"
"OM182_clade_fa",10,3.03030303030303e-05,0.000316666666666667,0.000123809523809524,-2.03058831983342,-3.38543103719352,-1.3548427173601,-0.00189123738660964,0.809825323499186,-0.00427617179732221,0.439452788456384,-0.00238493441071256,0.774785176717906,0.759684250180621,0.000251275964890653,0.470790034133394,0.539770258914843,"NA"
"pItb-vmat-80_fa",51,0.000142424242424242,0.00122777777777778,0.000643809523809524,-2.17643918629688,-3.10778282562994,-0.931343639333057,-0.0100444638977756,0.0544765702128414,-0.0225060512540495,3.86348995458086e-05,-0.0124615873562739,0.0338404086765935,10.7185916184186,0.00696626741671936,6.67662913915608e-05,0.00029854070293655,"CoralCCA"
"Moraxellaceae",1,0.000963636363636364,0,0,Inf,Inf,0,1.70718818270733e-19,1,0.00664189225840237,0.237982212795769,0.00664189225840237,0.241596939632277,1.63594470046083,0.000740937769787268,0.200506326547497,0.297433555494631,"NA"
"Pseudomonadaceae",8,0.00129090909090909,5.55555555555556e-06,0.000266666666666667,2.27527800158854,7.8602405023097,5.58496250072116,0.0050269583068072,0.540942113454939,0.00730401530370801,0.370644215329914,0.00227705699690081,0.907816058136853,1.05292902396079,0.000839625312869208,0.353172232854455,0.456788879683655,"NA"
"SAR86_clade_fa",5,1.21212121212121e-05,0,5.71428571428571e-06,1.08488889758651,Inf,Inf,0.000699861988614973,0.368203574766406,0.00104975109084631,0.180593825518388,0.000349889102231335,0.824984459874349,1.80237320419662,1.70342781812167e-05,0.170808204826754,0.274481046908176,"NA"
"SS1-B-07-19_fa",63,0.0208030303030303,0.000346296296296296,0.00039047619047619,5.73541530383669,5.90864292795184,0.173227624115155,0.000318224838250555,0.999776278276763,0.0574542932042093,0.00550134987765061,0.0571360683659587,0.00611092126958868,6.22614889537824,0.0551419850914144,0.00293383903374396,0.00834810561419871,"Limu"
"Woeseiaceae",88,0.0217,0.0180111111111111,0.0196857142857143,0.140545981797792,0.26880785836925,0.128261876571458,-0.00203937098908355,0.98571265067818,0.00850446824881809,0.825270288492661,0.0105438392379016,0.747073314245727,0.281687707811057,0.00159274644642257,0.755172011557252,0.780095180255511,"NA"
