"","kingdom","phylum","class","order","family","genus"
"Otu05901","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda"
"Otu05902","Bacteria","Myxococcota","bacteriap25","bacteriap25_or","bacteriap25_fa","bacteriap25_ge"
"Otu05903","Bacteria","Myxococcota","Polyangia","Nannocystales","Nannocystaceae","uncultured"
"Otu05904","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Muricauda"
"Otu05906","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"Otu05912","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade_fa","SAR202_clade_ge"
"Otu05913","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured"
"Otu05915","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae_unclassified"
"Otu05916","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","uncultured"
"Otu05919","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"Otu05927","Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group_or","BD2-11_terrestrial_group_fa","BD2-11_terrestrial_group_ge"
"Otu05930","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter"
"Otu05935","Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup_9","Subgroup_9_fa","Subgroup_9_ge"
"Otu05936","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacteraceae_unclassified"
"Otu05937","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","Rhodothermaceae_unclassified"
"Otu05943","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"Otu05946","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade_fa","SAR202_clade_ge"
"Otu05949","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"Otu05951","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"Otu05952","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"Otu05955","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina"
"Otu05963","Bacteria","Chloroflexi","Anaerolineae","Anaerolineae_unclassified","Anaerolineae_unclassified","Anaerolineae_unclassified"
"Otu05964","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured"
"Otu05966","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter"
"Otu05967","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"Otu05968","Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Dadabacteriales_fa","Dadabacteriales_ge"
"Otu05970","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Cyclobacteriaceae_unclassified"
"Otu05971","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"Otu05972","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","uncultured"
